420,478

2040,273
2465,163
2740,80
2770,80
2800,80
2830,80
2935,163
2965,163
3080,80
3110,80
3140,80
3170,80
3350,163
3820,245
4600,488
4630,488
4760,340
4790,340
4960,488
4990,340
5020,340
5290,488
5320,488
5640,340
5670,340
6097,409
7617,148
8006,342
8245,285
8280,286
8324,285
8364,285
8396,285
8421,289
8714,287
8757,286
8800,288
8831,288
8858,287
8893,287
9214,500
9255,500
9294,500
9572,267
9606,268
9639,270
9871,267
9900,268
10008,510
10034,511
10292,270
10314,268
10335,269
11376,340
12121,227
12209,335
13193,395
