574,424
575,424
709,386
1176,358
1348,356
1497,280
1667,262
1799,265
1913,268
1914,268
2277,427
2375,424
2701,81
2795,79
2875,82
3542,383
3618,384
4072,476
4141,475
4322,392
4577,396
4829,268
5157,474
5202,473
5318,196
5407,192
5496,190
6088,317
6204,474
6204,475
6248,468
6331,217
6392,220
6441,212
7284,423
7664,480
7962,482
8354,72
8562,117
8836,155
8934,155
9211,191
9351,233
9551,272
9637,267
10284,78
10564,112
10564,113
10752,137
11530,71
11735,103
11913,62
13134,409
13438,382
13714,488
13717,425
13780,426
13787,476
14039,474
14129,406
14129,407
14240,385
14503,350
14642,315
15007,458
15007,459
15008,458
15087,459
15188,459
